epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2139.84,1.18957,0.70816,0.83654,0.87713,0.92857,0.92329,0.52538,1.4442,0.97834,0.8325,0.0004358,0.0004358,0.0004358
81,2171.11,1.17476,0.68488,0.82703,0.81394,0.93789,0.93193,0.53458,1.4318,0.94115,0.82811,0.000416,0.000416,0.000416
82,2197.14,1.16975,0.68581,0.82257,0.84621,0.92857,0.94693,0.51677,1.50495,0.93747,0.83172,0.0003962,0.0003962,0.0003962
83,2222.74,1.18402,0.68587,0.81858,0.80664,1,0.94562,0.51532,1.56259,0.91126,0.83641,0.0003764,0.0003764,0.0003764
84,2248.55,1.15913,0.68057,0.82801,0.87431,0.99407,0.94981,0.53925,1.50632,0.86937,0.83333,0.0003566,0.0003566,0.0003566
85,2274.12,1.12684,0.64937,0.80748,0.86666,1,0.95596,0.54927,1.42972,0.83552,0.82655,0.0003368,0.0003368,0.0003368
86,2299.59,1.17685,0.65999,0.81563,0.8687,1,0.96625,0.56656,1.38319,0.85191,0.81988,0.000317,0.000317,0.000317
87,2325.99,1.19156,0.68239,0.81494,0.85007,1,0.95554,0.57051,1.38601,0.87175,0.81781,0.0002972,0.0002972,0.0002972
88,2382.08,1.17876,0.67793,0.8129,0.93204,0.98057,0.96167,0.52536,1.48257,0.90193,0.82753,0.0002774,0.0002774,0.0002774
89,2408.67,1.12829,0.64738,0.82714,0.87694,0.92857,0.95554,0.50489,1.56022,0.94625,0.83639,0.0002576,0.0002576,0.0002576
90,2434.82,1.15122,0.63737,0.82376,0.83504,1,0.95554,0.50432,1.58643,0.96488,0.83992,0.0002378,0.0002378,0.0002378
91,2461.24,1.1757,0.72449,0.82402,0.82228,0.99191,0.9426,0.4814,1.59083,0.98023,0.84104,0.000218,0.000218,0.000218
92,2494.98,1.11768,0.68971,0.8167,0.81917,1,0.93029,0.51432,1.50621,0.95148,0.8348,0.0001982,0.0001982,0.0001982
93,2528.87,1.12986,0.70154,0.81587,0.82317,0.99766,0.93465,0.53518,1.45269,0.92654,0.83147,0.0001784,0.0001784,0.0001784
94,2563.27,1.15398,0.71702,0.81085,0.81431,0.92857,0.93465,0.55545,1.43165,0.92155,0.82892,0.0001586,0.0001586,0.0001586
95,2597.75,1.13681,0.69602,0.83409,0.81599,0.92857,0.93465,0.54297,1.43393,0.93158,0.82845,0.0001388,0.0001388,0.0001388
96,2630.71,1.14588,0.68564,0.83807,0.81897,1,0.94425,0.52234,1.49162,0.93943,0.83386,0.000119,0.000119,0.000119
97,2663.82,1.13639,0.68958,0.83282,0.81098,0.91987,0.93757,0.51292,1.541,0.96234,0.83835,9.92e-05,9.92e-05,9.92e-05
98,2696.8,1.07357,0.65486,0.81332,0.81415,0.93928,0.94192,0.50344,1.58686,0.98244,0.84248,7.94e-05,7.94e-05,7.94e-05
99,2725.88,1.14003,0.69092,0.82136,0.82253,0.92857,0.94648,0.50083,1.61126,0.98747,0.84451,5.96e-05,5.96e-05,5.96e-05
100,2751.48,1.1115,0.65165,0.82423,0.8739,0.99058,0.95125,0.50478,1.62575,0.98773,0.84559,3.98e-05,3.98e-05,3.98e-05
